station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1118,0,761.5000000000003,0,0.37119856887298747
LXS,1073,0,732.8000000000001,0,0.587138863000932
LXM,865,1,881.0000000000001,0,0.45202312138728323
LXE,810,0,1109.8000000000004,0,0.4617283950617284
LXN,581,421,1102,202,0.20654044750430292
N3,48,0,144.10000000000028,0,0.6458333333333334
WCPD,31,0,1,0,0.8709677419354839
W1,28,0,55.300000000000125,0,0.6428571428571429
S4,24,0,193.49999999999994,0,0.5833333333333334
W2,23,0,591.8000000000002,0,0.6086956521739131
S1,3,0,3.1999999999999993,0,0.3333333333333333
CHPD,2,14,25.199999999999996,14,0
W3,2,0,0,0,0.5
CAPD,1,0,0,0,0
IRPD,1,0,0,0,0
N1,1,0,0,0,0
SCPD,1,0,0,0,1
